Analytical Q1 (c),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.30902,0.58779,0.80902,0.95106,1.0,0.95106,0.80902,0.58779,0.30902,0.0,-0.30902,-0.58779,-0.80902,-0.95106,-1.0,-0.95106,-0.80902,-0.58779,-0.30902,0.0
1,0.0,0.27961,0.53185,0.73203,0.86055,0.90484,0.86055,0.73203,0.53185,0.27961,0.0,-0.27961,-0.53185,-0.73203,-0.86055,-0.90484,-0.86055,-0.73203,-0.53185,-0.27961,0.0
2,0.0,0.253,0.48124,0.66237,0.77866,0.81873,0.77866,0.66237,0.48124,0.253,0.0,-0.253,-0.48124,-0.66237,-0.77866,-0.81873,-0.77866,-0.66237,-0.48124,-0.253,0.0
3,0.0,0.22893,0.43544,0.59933,0.70456,0.74082,0.70456,0.59933,0.43544,0.22893,0.0,-0.22893,-0.43544,-0.59933,-0.70456,-0.74082,-0.70456,-0.59933,-0.43544,-0.22893,0.0
4,0.0,0.20714,0.394,0.5423,0.63751,0.67032,0.63751,0.5423,0.394,0.20714,0.0,-0.20714,-0.394,-0.5423,-0.63751,-0.67032,-0.63751,-0.5423,-0.394,-0.20714,0.0
5,0.0,0.18743,0.35651,0.49069,0.57684,0.60653,0.57684,0.49069,0.35651,0.18743,0.0,-0.18743,-0.35651,-0.49069,-0.57684,-0.60653,-0.57684,-0.49069,-0.35651,-0.18743,0.0
6,0.0,0.16959,0.32258,0.444,0.52195,0.54881,0.52195,0.444,0.32258,0.16959,0.0,-0.16959,-0.32258,-0.444,-0.52195,-0.54881,-0.52195,-0.444,-0.32258,-0.16959,0.0
7,0.0,0.15345,0.29189,0.40175,0.47228,0.49659,0.47228,0.40175,0.29189,0.15345,0.0,-0.15345,-0.29189,-0.40175,-0.47228,-0.49659,-0.47228,-0.40175,-0.29189,-0.15345,0.0
8,0.0,0.13885,0.26411,0.36351,0.42734,0.44933,0.42734,0.36351,0.26411,0.13885,0.0,-0.13885,-0.26411,-0.36351,-0.42734,-0.44933,-0.42734,-0.36351,-0.26411,-0.13885,0.0
9,0.0,0.12564,0.23898,0.32892,0.38667,0.40657,0.38667,0.32892,0.23898,0.12564,0.0,-0.12564,-0.23898,-0.32892,-0.38667,-0.40657,-0.38667,-0.32892,-0.23898,-0.12564,0.0
10,0.0,0.11368,0.21623,0.29762,0.34987,0.36788,0.34987,0.29762,0.21623,0.11368,0.0,-0.11368,-0.21623,-0.29762,-0.34987,-0.36788,-0.34987,-0.29762,-0.21623,-0.11368,0.0
11,0.0,0.10286,0.19566,0.2693,0.31658,0.33287,0.31658,0.2693,0.19566,0.10286,0.0,-0.10286,-0.19566,-0.2693,-0.31658,-0.33287,-0.31658,-0.2693,-0.19566,-0.10286,0.0
12,0.0,0.09307,0.17704,0.24367,0.28645,0.30119,0.28645,0.24367,0.17704,0.09307,0.0,-0.09307,-0.17704,-0.24367,-0.28645,-0.30119,-0.28645,-0.24367,-0.17704,-0.09307,0.0
13,0.0,0.08422,0.16019,0.22048,0.25919,0.27253,0.25919,0.22048,0.16019,0.08422,0.0,-0.08422,-0.16019,-0.22048,-0.25919,-0.27253,-0.25919,-0.22048,-0.16019,-0.08422,0.0
14,0.0,0.0762,0.14495,0.1995,0.23453,0.2466,0.23453,0.1995,0.14495,0.0762,0.0,-0.0762,-0.14495,-0.1995,-0.23453,-0.2466,-0.23453,-0.1995,-0.14495,-0.0762,0.0
15,0.0,0.06895,0.13115,0.18052,0.21221,0.22313,0.21221,0.18052,0.13115,0.06895,0.0,-0.06895,-0.13115,-0.18052,-0.21221,-0.22313,-0.21221,-0.18052,-0.13115,-0.06895,0.0
16,0.0,0.06239,0.11867,0.16334,0.19201,0.2019,0.19201,0.16334,0.11867,0.06239,0.0,-0.06239,-0.11867,-0.16334,-0.19201,-0.2019,-0.19201,-0.16334,-0.11867,-0.06239,0.0
17,0.0,0.05645,0.10738,0.14779,0.17374,0.18268,0.17374,0.14779,0.10738,0.05645,0.0,-0.05645,-0.10738,-0.14779,-0.17374,-0.18268,-0.17374,-0.14779,-0.10738,-0.05645,0.0
18,0.0,0.05108,0.09716,0.13373,0.15721,0.1653,0.15721,0.13373,0.09716,0.05108,0.0,-0.05108,-0.09716,-0.13373,-0.15721,-0.1653,-0.15721,-0.13373,-0.09716,-0.05108,0.0
19,0.0,0.04622,0.08791,0.121,0.14225,0.14957,0.14225,0.121,0.08791,0.04622,0.0,-0.04622,-0.08791,-0.121,-0.14225,-0.14957,-0.14225,-0.121,-0.08791,-0.04622,0.0
20,0.0,0.04182,0.07955,0.10949,0.12871,0.13534,0.12871,0.10949,0.07955,0.04182,0.0,-0.04182,-0.07955,-0.10949,-0.12871,-0.13534,-0.12871,-0.10949,-0.07955,-0.04182,0.0
