Q1 (c),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.30902,0.58779,0.80902,0.95106,1.0,0.95106,0.80902,0.58779,0.30902,0.0,-0.30902,-0.58779,-0.80902,-0.95106,-1.0,-0.95106,-0.80902,-0.58779,-0.30902,-0.0
1,0.0,0.27982,0.53225,0.73257,0.86119,0.90551,0.86119,0.73257,0.53225,0.27982,0.0,-0.27981,-0.53223,-0.73252,-0.86098,-0.90472,-0.85829,-0.72182,-0.49242,-0.13229,0.0
2,0.0,0.25338,0.48195,0.66335,0.77981,0.81994,0.77981,0.66335,0.48195,0.25338,1e-05,-0.25333,-0.48181,-0.6629,-0.77839,-0.81556,-0.76691,-0.62792,-0.39651,-0.10652,0.0
3,0.0,0.22943,0.43641,0.60066,0.70612,0.74246,0.70612,0.60067,0.43642,0.22946,7e-05,-0.22923,-0.43581,-0.59899,-0.70163,-0.73107,-0.67954,-0.54589,-0.34275,-0.09208,0.0
4,0.0,0.20775,0.39517,0.5439,0.6394,0.6723,0.6394,0.54392,0.3952,0.20784,0.00024,-0.20712,-0.39354,-0.53992,-0.63025,-0.65287,-0.60208,-0.48053,-0.29946,-0.08045,0.0
5,0.0,0.18812,0.35783,0.49251,0.57898,0.60878,0.57899,0.49254,0.35792,0.18837,0.00061,-0.18667,-0.35453,-0.48541,-0.56474,-0.58248,-0.5347,-0.42467,-0.26391,-0.0709,0.0
6,0.0,0.17035,0.32402,0.44597,0.52427,0.55126,0.5243,0.44606,0.32425,0.17089,0.00123,-0.16769,-0.31858,-0.43548,-0.50537,-0.51966,-0.47546,-0.37659,-0.23353,-0.06274,0.0
7,0.0,0.15425,0.2934,0.40383,0.47474,0.49919,0.47481,0.40403,0.29386,0.15526,0.00209,-0.1501,-0.28562,-0.39006,-0.45186,-0.46363,-0.42328,-0.3346,-0.20723,-0.05567,0.0
8,0.0,0.13967,0.26568,0.36568,0.4299,0.45207,0.43004,0.36605,0.26648,0.14131,0.00315,-0.13387,-0.25554,-0.34893,-0.40376,-0.41368,-0.3771,-0.29772,-0.18422,-0.04949,0.0
9,0.0,0.12648,0.24058,0.33114,0.38932,0.40943,0.38956,0.33176,0.24184,0.12887,0.00434,-0.11897,-0.22821,-0.31178,-0.36059,-0.36911,-0.33615,-0.26515,-0.16397,-0.04405,0.0
10,0.0,0.11453,0.21786,0.29988,0.35259,0.37086,0.35298,0.30081,0.21966,0.11779,0.0056,-0.10534,-0.20344,-0.27831,-0.32188,-0.32933,-0.29973,-0.23629,-0.14607,-0.03924,0.0
11,0.0,0.10372,0.1973,0.27159,0.31936,0.33599,0.31992,0.27289,0.19972,0.1079,0.00686,-0.09292,-0.18105,-0.24819,-0.28718,-0.29379,-0.26731,-0.21066,-0.13019,-0.03497,0.0
12,0.0,0.09393,0.17869,0.246,0.28931,0.30446,0.29007,0.24771,0.18177,0.09906,0.0081,-0.08166,-0.16084,-0.22111,-0.25608,-0.26203,-0.23839,-0.18784,-0.11607,-0.03118,0.0
13,0.0,0.08508,0.16185,0.22285,0.26214,0.27597,0.26311,0.22499,0.16562,0.09114,0.00928,-0.07146,-0.14263,-0.19678,-0.22821,-0.23363,-0.21258,-0.1675,-0.1035,-0.02781,0.0
14,0.0,0.07707,0.14663,0.20191,0.23758,0.25023,0.23877,0.20451,0.15108,0.08404,0.01038,-0.06225,-0.12625,-0.17494,-0.20323,-0.20822,-0.18953,-0.14936,-0.09229,-0.02479,0.0
15,0.0,0.06982,0.13286,0.18299,0.21538,0.22698,0.2168,0.18604,0.13798,0.07766,0.01138,-0.05395,-0.11152,-0.15533,-0.18085,-0.18548,-0.16892,-0.13315,-0.08229,-0.02211,0.0
16,0.0,0.06328,0.12041,0.16588,0.19533,0.20598,0.19696,0.16937,0.12617,0.07192,0.01229,-0.04649,-0.09829,-0.13775,-0.16079,-0.16513,-0.15049,-0.11867,-0.07335,-0.01971,0.0
17,0.0,0.05735,0.10916,0.15043,0.17721,0.18701,0.17906,0.15433,0.11552,0.06674,0.0131,-0.03979,-0.08642,-0.12198,-0.14282,-0.14691,-0.134,-0.10572,-0.06536,-0.01756,0.0
18,0.0,0.052,0.09899,0.13646,0.16084,0.16989,0.16289,0.14076,0.10591,0.06205,0.01381,-0.03378,-0.07578,-0.10784,-0.12673,-0.13059,-0.11924,-0.09413,-0.05822,-0.01564,0.0
19,0.0,0.04717,0.08981,0.12384,0.14606,0.15442,0.1483,0.1285,0.09722,0.05781,0.01442,-0.02841,-0.06624,-0.09518,-0.1123,-0.11598,-0.10603,-0.08376,-0.05182,-0.01392,0.0
20,0.0,0.0428,0.08151,0.11245,0.1327,0.14045,0.13511,0.11743,0.08937,0.05396,0.01494,-0.02361,-0.0577,-0.08383,-0.09939,-0.10289,-0.0942,-0.07448,-0.0461,-0.01238,0.0
